,BlueTop,BlueJungle,BlueMid,BlueADC,BlueSupport,RedTop,RedJungle,RedMid,RedADC,RedSupport,BlueWin
9197,Olaf,Kindred,Talon,Caitlyn,Senna,Garen,Sejuani,Tryndamere,MissFortune,Alistar,True
9198,Volibear,Udyr,Talon,Quinn,Sona,Akshan,Warwick,Ahri,Sivir,Annie,True
9199,Olaf,Mordekaiser,Zed,MissFortune,Seraphine,Shen,Nocturne,Lissandra,Ezreal,Lulu,False
9200,Darius,Diana,Katarina,Jhin,Sona,Akali,Sylas,Teemo,Draven,Pyke,False
9201,Illaoi,Nocturne,Irelia,Tristana,Taric,Jax,Diana,Sylas,MissFortune,Sona,True
9202,Yorick,Sejuani,Swain,MissFortune,Morgana,Gnar,Volibear,Yone,Caitlyn,Pyke,True
9203,Jax,Mordekaiser,Irelia,Ezreal,Janna,Darius,Tryndamere,Vex,Twitch,Sona,False
9204,Mordekaiser,JarvanIV,Sett,Caitlyn,Yuumi,Teemo,Rammus,Quinn,Twitch,Sona,True
9205,Kled,Diana,Fizz,Jhin,Yuumi,Riven,Sejuani,Lux,MissFortune,Sona,True
9206,Olaf,Ekko,Qiyana,MissFortune,Velkoz,Mordekaiser,Kayn,Talon,Kaisa,Yuumi,False
9207,Udyr,Nocturne,Lux,Tristana,Sona,Illaoi,Zac,Rakan,Caitlyn,Zoe,True
9208,Quinn,Mordekaiser,Vladimir,Tristana,Sona,Teemo,Jax,Lux,Jinx,TahmKench,True
9209,Jax,Riven,Mordekaiser,Caitlyn,Sona,Irelia,Skarner,Malzahar,Varus,Senna,True
9210,Illaoi,Vi,Kassadin,Caitlyn,Bard,Pantheon,MonkeyKing,Yone,Ezreal,Sona,True
9211,Darius,Mordekaiser,Ryze,MissFortune,Ziggs,Chogath,Vi,Neeko,Kaisa,Rell,False
9212,Sion,Sejuani,Brand,MissFortune,Sona,Mordekaiser,Nocturne,Lux,Varus,Pyke,False
9213,Yorick,Evelynn,Diana,Ezreal,Sona,Ornn,MasterYi,Irelia,Caitlyn,Soraka,False
9214,Yone,Rammus,Kled,Caitlyn,Sona,Urgot,Amumu,Vex,Tristana,Nami,True
9215,Teemo,Hecarim,Neeko,Samira,Lulu,Nasus,Evelynn,Yasuo,Senna,Sona,False
9216,Chogath,Ekko,Akali,Xayah,Sona,Fiora,Kindred,Katarina,Lucian,Seraphine,False
9217,Sett,Kayn,Veigar,Tristana,Tryndamere,Ornn,Zed,Azir,Ezreal,Taric,True
9218,Sett,Rammus,Annie,Caitlyn,Lux,MonkeyKing,Diana,Syndra,MissFortune,Morgana,False
9219,Kled,MasterYi,Vex,Sivir,Yuumi,Sett,Nunu,Yone,MissFortune,Zyra,False
9220,Illaoi,Nunu,Akali,Tristana,Pyke,Garen,Ekko,Sylas,MissFortune,Blitzcrank,True
9221,Garen,XinZhao,Yasuo,Xayah,Soraka,Jax,Rammus,Ryze,Lucian,Zyra,True
9222,Camille,Nocturne,Vex,Graves,Brand,Fiora,Warwick,Ahri,MissFortune,Leona,True
9223,Olaf,Warwick,Ziggs,Tristana,Brand,Sett,Belveth,Ezreal,Draven,Velkoz,True
9224,Seraphine,Udyr,Viego,Tristana,Rumble,Riven,MissFortune,Sylas,MasterYi,Janna,True
9225,Mordekaiser,Warwick,Ekko,Ezreal,Yuumi,Aatrox,Kindred,Kassadin,Kaisa,Seraphine,False
9226,Camille,Shaco,Jhin,MissFortune,MonkeyKing,Riven,Warwick,Zoe,Ashe,Nami,True
9227,Sett,Diana,Heimerdinger,Tristana,Senna,Illaoi,Warwick,Yone,Quinn,Morgana,True
9228,Jax,Garen,Malphite,Jhin,Morgana,Nasus,Vi,Orianna,Yasuo,Nautilus,False
9229,Teemo,Ivern,Anivia,Vayne,Lux,Fiora,Warwick,Zed,Varus,Rell,True
9230,Malzahar,Teemo,Zilean,Jhin,Heimerdinger,Fiora,Warwick,Yasuo,Varus,Soraka,True
9231,Olaf,Belveth,Vex,Jinx,Amumu,Aatrox,Warwick,Irelia,Garen,Azir,True
9232,Pantheon,Warwick,Syndra,Samira,Heimerdinger,Malphite,Nasus,Ziggs,Graves,Brand,False
9233,Kennen,Warwick,Akshan,Samira,Lux,Garen,Rengar,Vex,Vayne,Zilean,False
9234,Renekton,Nunu,Heimerdinger,Sivir,Teemo,Yorick,Warwick,Malphite,MissFortune,Zyra,True
9235,Mordekaiser,Amumu,Akshan,Caitlyn,DrMundo,Kayle,Warwick,Pantheon,Ezreal,Zyra,False
9236,Kayle,Warwick,Morgana,MissFortune,Lux,Yorick,Kayn,Irelia,Jhin,Ashe,False
9237,MonkeyKing,Graves,Veigar,Tristana,Velkoz,Yone,Belveth,Vex,Xayah,Soraka,True
9238,Jax,Nocturne,Vex,Nilah,MissFortune,Mordekaiser,FiddleSticks,Brand,Samira,Nami,False
9239,Volibear,Zac,Vex,Xayah,Nami,Irelia,Shaco,Ahri,Jinx,Malphite,False
9240,Ornn,Jax,Lissandra,Tristana,Velkoz,Yorick,MasterYi,Akshan,Jhin,Nautilus,True
9241,Sett,Belveth,Vex,Tristana,Rakan,Garen,Khazix,Leblanc,Ashe,Taric,True
9242,Warwick,Belveth,Akshan,Nilah,Morgana,Diana,Trundle,Irelia,Tristana,Soraka,False
9243,DrMundo,Lillia,Kassadin,Ezreal,Senna,Nasus,Amumu,Shyvana,Kaisa,Yuumi,True
9244,Illaoi,Teemo,Heimerdinger,Yasuo,Yuumi,DrMundo,Udyr,Vex,MissFortune,Taric,False
9245,Heimerdinger,Nocturne,Vex,Samira,Soraka,TahmKench,Warwick,Irelia,Jhin,Pyke,True
9246,Sett,MasterYi,Vex,Nidalee,Janna,Caitlyn,Amumu,Swain,Tristana,Yuumi,False
9247,Teemo,Shaco,Ziggs,Varus,Lux,Ezreal,Shen,Anivia,Tristana,Soraka,True
9248,Warwick,Volibear,Zed,MissFortune,Zyra,Kled,MasterYi,Akshan,Tristana,Morgana,False
9249,Nasus,Kayn,Malzahar,Nilah,Lux,Olaf,Warwick,Ziggs,Tristana,Veigar,True
9250,Volibear,Amumu,Fizz,Tristana,Leona,Garen,Maokai,Annie,Caitlyn,Morgana,True
9251,Darius,Nocturne,Malzahar,Twitch,Morgana,Warwick,Jax,Annie,Jinx,Swain,True
9252,DrMundo,Warwick,Ziggs,Twitch,Zyra,Aatrox,Amumu,Vex,Jhin,Lux,False
9253,Shyvana,Warwick,Vex,Draven,Nautilus,Renekton,Vi,Nunu,Jinx,Zyra,False
9254,Garen,Warwick,Zyra,Ashe,Lux,Poppy,Jax,Vex,Tristana,Lulu,False
9255,Nasus,Maokai,Akali,Jinx,Morgana,Shen,MasterYi,Vex,Jhin,Brand,True
9256,Gwen,Darius,Ziggs,Jhin,Morgana,Quinn,Belveth,Akali,MissFortune,Brand,False
9257,Lucian,Nunu,Sivir,Nidalee,Teemo,Renekton,Jinx,Caitlyn,Yuumi,Yasuo,True
9258,Shaco,Kaisa,Soraka,Syndra,Tryndamere,TwistedFate,Garen,Vayne,Yone,Ezreal,True
9259,Draven,Kayle,Zoe,Xayah,Shaco,MasterYi,Chogath,Pyke,Fiora,Yasuo,True
9260,Vayne,Senna,Chogath,Fiora,Graves,Talon,Jhin,Galio,Jinx,Caitlyn,False
9261,Darius,Shaco,Anivia,Senna,Xerath,Yorick,DrMundo,Malzahar,Zeri,Sona,False
9262,MonkeyKing,Belveth,Malzahar,Twitch,Teemo,Poppy,Kayn,Anivia,Varus,Heimerdinger,True
9263,Renekton,Evelynn,Kassadin,Ezreal,Heimerdinger,Olaf,Warwick,Malzahar,Sivir,Thresh,True
9264,Teemo,Belveth,Yone,Nilah,Soraka,Lillia,Hecarim,Veigar,Draven,Seraphine,True
9265,DrMundo,Hecarim,Ziggs,Ashe,Nautilus,Kayle,Kindred,Zed,MissFortune,Brand,False
9266,Jax,Hecarim,Vex,Samira,Morgana,Darius,Nocturne,Heimerdinger,MissFortune,Taric,False
9267,Urgot,Evelynn,Irelia,Jinx,Rakan,Yone,Nunu,Corki,Ezreal,Seraphine,True
9268,Heimerdinger,Shaco,Fizz,Jhin,Ivern,Teemo,Kaisa,Vex,Warwick,Nautilus,True
9269,Akali,Volibear,Velkoz,MissFortune,Thresh,Sett,Shaco,Ekko,Ashe,Seraphine,True
9270,DrMundo,Shaco,Pantheon,Jhin,Morgana,Ornn,Diana,Yone,Sivir,Lulu,False
9271,Urgot,Diana,Taliyah,Jhin,Thresh,Kled,Shaco,Viktor,Varus,Lux,False
9272,Varus,Senna,Riven,Azir,Amumu,Viego,Jinx,Kaisa,Twitch,Lillia,True
9273,Sett,Shaco,Sylas,Samira,Seraphine,Irelia,FiddleSticks,Katarina,Ashe,MissFortune,True
9274,Kennen,Nunu,Irelia,Xayah,Brand,Mordekaiser,Ekko,Diana,Caitlyn,Ashe,False
9275,Kled,Trundle,Anivia,Caitlyn,Morgana,Sett,Shaco,Fizz,Kaisa,Heimerdinger,False
9276,Kled,Trundle,Akali,Xayah,Xerath,Teemo,XinZhao,Fizz,Lucian,Lulu,True
9277,Kled,Kindred,Diana,Lucian,Heimerdinger,Fiora,Rammus,Chogath,Kaisa,Ashe,True
9278,JarvanIV,Maokai,Talon,MissFortune,Brand,Yorick,Sejuani,Diana,Kaisa,Leona,False
9279,Riven,Tryndamere,Syndra,KogMaw,Yuumi,Nasus,Nocturne,Viktor,Zyra,Sejuani,False
9280,DrMundo,XinZhao,Diana,Samira,Morgana,Teemo,Warwick,Swain,Kaisa,Zyra,False
9281,Riven,Nunu,Diana,Varus,Yuumi,Jax,Udyr,Yasuo,MissFortune,Lux,False
9282,Yorick,MasterYi,Akali,Caitlyn,Yuumi,Nasus,Hecarim,Diana,Jhin,Zyra,False
9283,Shen,LeeSin,Garen,Jhin,Yuumi,Sion,Warwick,Diana,Jinx,Lulu,True
9284,Yorick,MasterYi,Akali,Samira,Maokai,Sett,Shaco,Diana,Ashe,Pyke,True
9285,Illaoi,MasterYi,Irelia,Ziggs,Kayle,Jax,RekSai,Diana,Caitlyn,Taric,False
9286,JarvanIV,Kayn,Akali,Jinx,Lux,Urgot,MasterYi,Diana,Ashe,Heimerdinger,False
9287,Yorick,Udyr,Diana,Ashe,Yuumi,Shen,Vi,Lissandra,Jhin,Swain,False
9288,Diana,Trundle,Yasuo,Kaisa,Blitzcrank,Camille,Viego,Karthus,MissFortune,Morgana,True
9289,Gnar,Jax,Diana,Chogath,Nami,Yorick,Nunu,Heimerdinger,Kaisa,Pyke,True
9290,Jayce,Zac,Diana,Ezreal,Amumu,Nasus,Jax,Neeko,Yasuo,Zyra,True
9291,Gnar,MasterYi,Taliyah,Zeri,Seraphine,Irelia,Mordekaiser,Diana,Samira,Lux,False
9292,Illaoi,Evelynn,Diana,Jhin,Lux,Teemo,Rammus,Irelia,Tristana,Anivia,False
9293,KSante,Khazix,Akali,Tristana,Taric,Riven,Ekko,Diana,Caitlyn,Sona,False
9294,Riven,Kindred,Diana,Lux,Caitlyn,Gangplank,MasterYi,Akshan,Zeri,Yuumi,True
9295,Shen,Jax,Kassadin,Fizz,Lux,Yorick,Ekko,Mordekaiser,Xayah,Nautilus,False
9296,DrMundo,Diana,Ezreal,Jhin,Seraphine,Kennen,Udyr,Karma,Aphelios,Sona,True
9297,Nasus,Khazix,Yone,Lucian,Braum,Olaf,Jax,Orianna,Samira,Lux,False
9298,Darius,MasterYi,Veigar,Tristana,Zyra,Mordekaiser,Shaco,Katarina,Jinx,Soraka,True
9299,Sett,Irelia,Rumble,Kindred,Nautilus,Fiora,Maokai,Katarina,Ashe,Brand,True
9300,Teemo,Graves,Diana,Caitlyn,Yuumi,Mordekaiser,Jax,Ashe,Varus,Velkoz,False
9301,Darius,MasterYi,Seraphine,MissFortune,Rakan,Urgot,Jax,Heimerdinger,Twitch,Senna,False
9302,Kayle,Belveth,Rumble,MissFortune,Sett,Mordekaiser,Sylas,Ziggs,Jinx,Sona,False
9303,Illaoi,Warwick,Yone,Caitlyn,Soraka,Gangplank,Jax,Veigar,Tristana,Lux,False
9304,Yorick,Udyr,Yasuo,Jinx,Yuumi,Gwen,Irelia,Renekton,Caitlyn,Taric,True
9305,Darius,Sylas,Akshan,Tristana,Yuumi,Garen,Nunu,Yasuo,Caitlyn,Pantheon,False
9306,TahmKench,Diana,Xerath,Jinx,Maokai,Twitch,Jax,Anivia,Ezreal,Lux,False
9307,Garen,Jax,Gragas,Ezreal,Lux,Urgot,Kindred,Veigar,Samira,Maokai,False
9308,Gnar,Sylas,Zed,Ashe,Brand,Shen,Trundle,Xerath,Caitlyn,Neeko,False
9309,Riven,Zac,Malzahar,Ashe,Teemo,DrMundo,Irelia,Katarina,Twitch,Lux,False
9310,DrMundo,Warwick,Viktor,Varus,Veigar,Darius,Jax,Fizz,MissFortune,Yuumi,False
9311,Yasuo,Jax,Malphite,Kaisa,Maokai,KSante,Irelia,Zed,Karthus,Pyke,True
9312,DrMundo,Mordekaiser,Lissandra,Kaisa,Sona,Darius,Sylas,Yone,MissFortune,Taric,True
9313,Garen,Kayn,Katarina,Tristana,MissFortune,TahmKench,Sylas,Taric,Ezreal,Yuumi,True
9314,Malphite,Udyr,Irelia,Ashe,Alistar,Garen,Warwick,Pantheon,Varus,Taric,False
9315,Urgot,Warwick,Sylas,Swain,Yuumi,Olaf,Maokai,Akali,Kaisa,Leona,False
9316,Urgot,Nidalee,Ekko,Ashe,Nautilus,Renekton,Karthus,Irelia,Twitch,Brand,True
9317,Yasuo,Seraphine,Mordekaiser,Ashe,Zoe,Gwen,Fiora,Pyke,MissFortune,Nunu,False
9318,Nasus,Belveth,Yone,Jhin,Viktor,Yorick,Volibear,Tristana,Ashe,Soraka,True
9319,Mordekaiser,Belveth,Vex,Caitlyn,Yuumi,Nasus,Nunu,Akali,MissFortune,Volibear,True
9320,Garen,MasterYi,Teemo,Caitlyn,Lux,Nasus,Diana,Jax,Tristana,Yuumi,True
9321,Nasus,MasterYi,Teemo,Twitch,Thresh,Garen,Evelynn,Kled,Lucian,Nautilus,True
9322,Nasus,Ashe,Volibear,Teemo,Sivir,Shaco,Annie,Yone,Kindred,Tristana,False
9323,Malzahar,Zeri,Heimerdinger,MasterYi,Garen,Irelia,Caitlyn,Maokai,Nasus,Ashe,False
9324,Nasus,Khazix,Talon,Tristana,Morgana,Vayne,Lillia,Irelia,Xerath,Seraphine,False
9325,Teemo,Rengar,Swain,Ashe,Seraphine,Nasus,Warwick,Qiyana,Caitlyn,Alistar,True
9326,Gwen,MasterYi,Malzahar,MissFortune,Janna,Nasus,Viego,Zyra,Jinx,Soraka,False
9327,Udyr,JarvanIV,Ryze,MissFortune,Brand,Garen,Kayn,Fizz,Ezreal,Yuumi,False
9328,Nasus,XinZhao,Jax,Jinx,Nami,Kaisa,Belveth,Viktor,Tristana,Nautilus,False
9329,Nasus,Kayn,Akali,Twitch,Brand,Camille,Warwick,Ziggs,Sivir,Seraphine,True
9330,Nasus,Vi,Yasuo,Kaisa,Alistar,Yorick,Twitch,Veigar,Draven,Nautilus,False
9331,Nasus,Evelynn,Syndra,Tristana,Pyke,Gwen,Shyvana,Vayne,Twitch,Leona,True
9332,Pantheon,Mordekaiser,Kassadin,Tristana,Nami,Nasus,Kayn,Veigar,Vayne,Sylas,True
9333,Nasus,Rengar,Seraphine,Jinx,Ornn,Mordekaiser,Volibear,Ryze,MissFortune,Ashe,False
9334,Garen,MasterYi,Galio,MissFortune,Brand,Volibear,Chogath,Ekko,Jinx,Maokai,False
9335,Akali,Chogath,Veigar,Kalista,Annie,Vayne,Shaco,Cassiopeia,Kaisa,Lux,False
9336,Nasus,Viego,Malzahar,Jinx,Orianna,Illaoi,Hecarim,Swain,Jhin,MissFortune,False
9337,Akshan,Volibear,Veigar,Mordekaiser,DrMundo,Darius,Gragas,Vladimir,Ashe,Pyke,True
9338,Jax,Shaco,Veigar,Vayne,Lux,Nasus,Volibear,Kassadin,Kaisa,Pyke,False
9339,Warwick,MasterYi,Akali,Kaisa,Zyra,Pantheon,Teemo,Veigar,Caitlyn,Ashe,True
9340,Aatrox,Rammus,Veigar,Tristana,TahmKench,Sett,Sejuani,Malzahar,Twitch,Morgana,False
9341,Irelia,Kayn,Veigar,Tristana,Thresh,Mordekaiser,Karthus,Yasuo,Caitlyn,Lux,False
9342,Illaoi,Khazix,Veigar,Caitlyn,Janna,Warwick,MasterYi,Kassadin,Jinx,Rell,True
9343,Ornn,FiddleSticks,Veigar,Tristana,Blitzcrank,Yorick,Zac,Viktor,Varus,Yuumi,True
9344,Shen,Evelynn,Swain,Sivir,Morgana,Illaoi,Amumu,Katarina,Draven,Teemo,False
9345,Teemo,Amumu,Katarina,Twitch,Lux,Nasus,XinZhao,Ahri,Caitlyn,Zyra,True
9346,Riven,Hecarim,Irelia,Samira,Zyra,DrMundo,Amumu,Katarina,Ashe,Janna,False
9347,Teemo,MonkeyKing,Veigar,MissFortune,Vex,Tryndamere,Taliyah,Riven,Tristana,Ashe,False
9348,Mordekaiser,Amumu,Ryze,Twitch,Thresh,Irelia,Diana,Vex,Samira,Swain,True
9349,Teemo,Amumu,Anivia,Vayne,Yuumi,Nasus,Belveth,Vex,Zeri,RekSai,True
9350,Teemo,Amumu,Brand,Jinx,Seraphine,Riven,Kayn,Yasuo,Ryze,Senna,False
9351,Shen,Khazix,Veigar,Ashe,Lux,Riven,FiddleSticks,Ahri,Lucian,Yuumi,False
9352,Tryndamere,LeeSin,Veigar,Draven,Bard,Sett,Udyr,Seraphine,Kaisa,Morgana,False
9353,DrMundo,Kayn,Veigar,Ashe,Amumu,Sett,Sejuani,Neeko,Caitlyn,Soraka,True
9354,Tryndamere,Varus,Veigar,Draven,Zac,TahmKench,Rammus,Gwen,Samira,Seraphine,False
9355,Darius,Amumu,Yasuo,Draven,Xerath,Kled,XinZhao,Katarina,Xayah,Ashe,False
9356,Kled,DrMundo,Sylas,MissFortune,Seraphine,Garen,Amumu,Sivir,Caitlyn,Senna,False
9357,Zeri,Graves,Yuumi,Caitlyn,Seraphine,Kled,Maokai,Veigar,Ezreal,Lux,False
9358,Aatrox,Kayn,Veigar,Jinx,Renata,Malphite,XinZhao,Yone,Lucian,Morgana,False
9359,Sett,XinZhao,Yone,Draven,Blitzcrank,Aatrox,Evelynn,Veigar,MissFortune,Sona,True
9360,Malphite,Viego,Zed,Kaisa,Seraphine,Illaoi,MasterYi,Veigar,MissFortune,Neeko,True
9361,Illaoi,Khazix,Veigar,Jinx,Morgana,Jax,Warwick,Vex,Vayne,Sona,True
9362,Jax,MonkeyKing,Veigar,Caitlyn,Morgana,Garen,Belveth,Malzahar,MissFortune,Yuumi,False
9363,Kennen,MasterYi,Veigar,Vayne,Heimerdinger,Trundle,Kayn,Sylas,Jhin,Lux,True
9364,Garen,Kayn,Veigar,Kaisa,Lux,Teemo,Warwick,Vex,Jinx,Sona,True
9365,DrMundo,Evelynn,Talon,Quinn,Yuumi,Irelia,Karthus,Ekko,Ashe,Lux,False
9366,Garen,Amumu,Yone,Ashe,Pyke,Sion,MasterYi,Sylas,Nilah,Thresh,True
9367,Illaoi,Udyr,Vex,Ashe,Janna,Soraka,Hecarim,Ahri,Kaisa,Leona,True
9368,LeeSin,Aphelios,Sion,Xayah,Xerath,Khazix,Rumble,Orianna,Akali,MasterYi,True
9369,Chogath,Graves,Veigar,Vayne,Morgana,Yone,Shyvana,Xerath,Kaisa,Lux,True
9370,Teemo,Kindred,Akali,Volibear,Gangplank,Garen,MasterYi,Veigar,Caitlyn,Blitzcrank,True
9371,Trundle,Ekko,Veigar,Caitlyn,KSante,Yorick,Jax,Orianna,Kaisa,Sona,False
9372,Fiora,DrMundo,Zed,Jinx,Lux,Singed,Warwick,Kassadin,Jhin,Fizz,False
9373,Xerath,MonkeyKing,Leona,Vladimir,Ziggs,MissFortune,Jinx,Garen,Volibear,TwistedFate,True
9374,Jhin,Evelynn,Ezreal,Zed,Twitch,Nidalee,Rumble,Fiora,TahmKench,Soraka,True
9375,Soraka,Ahri,Jayce,Darius,Leona,TahmKench,Elise,Anivia,Zilean,Morgana,False
9376,Vayne,Udyr,Draven,Jhin,Seraphine,Tristana,Rammus,Veigar,Quinn,Zyra,False
9377,Maokai,Mordekaiser,Yasuo,Jhin,Brand,Malphite,Udyr,Lux,Belveth,Yuumi,False
9378,Mordekaiser,MasterYi,Kassadin,Varus,Swain,DrMundo,Udyr,Akali,Caitlyn,Lux,False
9379,Heimerdinger,MasterYi,Kayle,Nilah,Seraphine,DrMundo,Maokai,Diana,Jhin,Senna,True
9380,Udyr,Ezreal,Gangplank,Kaisa,Karthus,Malphite,Volibear,Swain,Sejuani,Veigar,False
9381,Udyr,Kaisa,Yuumi,Leona,JarvanIV,Nautilus,Jayce,Kayle,Khazix,Chogath,True
9382,Shen,Sejuani,TahmKench,KogMaw,Thresh,Jax,Khazix,Leblanc,Jinx,Morgana,False
9383,KSante,XinZhao,Ryze,Twitch,Rakan,Maokai,Shaco,Vladimir,Sivir,Nami,False
9384,Darius,Viego,Qiyana,Zeri,Blitzcrank,Camille,Nunu,Jayce,Caitlyn,Lux,True
9385,Singed,Zac,Lux,Xayah,Rakan,Camille,DrMundo,Zed,Ezreal,Nautilus,True
9386,DrMundo,Shaco,Ryze,Twitch,Pyke,Camille,MasterYi,Zoe,MissFortune,Nautilus,True
9387,Camille,MasterYi,Velkoz,Twitch,Senna,Mordekaiser,Diana,Malzahar,Seraphine,Lillia,True
9388,Camille,Sylas,Swain,Jhin,Ashe,Nasus,Warwick,Katarina,Kaisa,Thresh,False
9389,Sett,Udyr,Vladimir,Tristana,Maokai,Akali,Zed,Leblanc,Ezreal,Ivern,True
9390,Mordekaiser,Rammus,Akali,Caitlyn,Thresh,Olaf,Warwick,Tristana,Twitch,Veigar,False
9391,Riven,Maokai,Swain,Kalista,Senna,Olaf,Hecarim,Ahri,FiddleSticks,Lux,True
9392,KSante,Leona,Brand,Caitlyn,Morgana,Mordekaiser,Volibear,Fizz,Jinx,Lux,True
9393,DrMundo,Maokai,Syndra,Kaisa,Amumu,Teemo,Udyr,Vex,Ezreal,Nautilus,True
9394,DrMundo,Udyr,Yasuo,Xayah,Rakan,Sett,Darius,Irelia,Ezreal,Swain,False
9395,Illaoi,Rammus,Qiyana,Tristana,Zilean,Urgot,Khazix,Fizz,MissFortune,Zyra,False
9396,Darius,MasterYi,Anivia,Kaisa,Nautilus,Camille,Vi,Akshan,Zeri,Rakan,True
9397,Kled,Rengar,Pantheon,Varus,Heimerdinger,Kayle,Udyr,Malzahar,Lucian,Nami,True
9398,Nasus,MasterYi,Seraphine,Corki,Sona,Kled,Zac,Swain,Sivir,Yuumi,True
9399,Yorick,FiddleSticks,Velkoz,Sivir,Yuumi,TahmKench,MasterYi,Annie,Twitch,Rell,False
9400,Singed,Volibear,Pantheon,Xayah,Nami,Sion,Nidalee,Irelia,Jinx,Velkoz,True
9401,Tryndamere,Nocturne,Cassiopeia,Jinx,Swain,Volibear,Vi,Ashe,Kaisa,Morgana,True
9402,Pantheon,Nunu,Ziggs,Sivir,Maokai,Irelia,Khazix,Kassadin,Kaisa,Senna,True
9403,Sett,Diana,Ekko,Varus,Lux,Pantheon,Warwick,Kassadin,Seraphine,Sona,False
9404,Aatrox,Kindred,Yasuo,MissFortune,Seraphine,DrMundo,Sejuani,Yone,Jinx,Yuumi,True
9405,Teemo,Diana,Lux,Tristana,Yuumi,Irelia,Sylas,Azir,Jinx,Seraphine,True
9406,Ornn,Pantheon,Karma,Jinx,Rakan,Illaoi,Kayn,Katarina,MissFortune,Vex,False
9407,Akshan,Warwick,Draven,Syndra,Blitzcrank,Sett,MasterYi,Vex,Karthus,Ashe,False
9408,Mordekaiser,Shaco,Heimerdinger,Jhin,Xerath,Vayne,Nunu,Yasuo,MissFortune,Rakan,True
9409,Sett,Trundle,Ziggs,Tristana,Sona,Akali,Shyvana,Kassadin,MissFortune,Senna,False
9410,Sion,Warwick,Neeko,Tristana,Yuumi,Aatrox,Kayn,Varus,Caitlyn,Veigar,False
9411,Singed,Elise,Akali,Ashe,Brand,Fiora,MasterYi,Sylas,Kaisa,Lux,True
9412,Vayne,Viktor,Ryze,Ahri,Akali,Sett,Kayle,Shaco,DrMundo,Zoe,False
9413,Shen,Jhin,Draven,Veigar,Ekko,Riven,Sion,Morgana,Nami,Sona,False
9414,Nasus,Hecarim,Qiyana,Jhin,Lux,Shen,Sylas,Ekko,Twitch,Nami,True
9415,Tryndamere,Yone,Sivir,Ziggs,Neeko,Kayle,Teemo,Taric,Mordekaiser,MonkeyKing,True
9416,Bard,Yasuo,Akshan,Malphite,Gangplank,Ahri,Chogath,Leona,Corki,Quinn,True
9417,Yorick,MasterYi,Katarina,Caitlyn,Swain,Nasus,Ekko,MissFortune,Varus,Seraphine,True
9418,Illaoi,MasterYi,Swain,Ashe,Brand,Garen,Volibear,Malzahar,Samira,Heimerdinger,False
9419,Teemo,Warwick,MissFortune,Caitlyn,Pyke,Darius,Nocturne,Varus,Kaisa,Senna,True
9420,Yorick,Warwick,Veigar,TwistedFate,Seraphine,Gwen,Rammus,Yasuo,MissFortune,Neeko,True
9421,Jax,MasterYi,MissFortune,Yasuo,Blitzcrank,Teemo,XinZhao,Vex,Tristana,Morgana,True
9422,Riven,MasterYi,Ahri,Caitlyn,Swain,Mordekaiser,FiddleSticks,Kennen,MissFortune,Seraphine,False
9423,Urgot,Volibear,Janna,Nilah,Swain,Teemo,Karthus,Yasuo,Lucian,Vex,False
9424,Jax,XinZhao,Ziggs,MissFortune,Leona,Darius,Kindred,Katarina,Nilah,Swain,False
9425,Illaoi,Udyr,Vex,Varus,Swain,Gangplank,RekSai,Shaco,MissFortune,Karma,True
9426,Darius,Kayn,Yasuo,Zeri,Yuumi,Illaoi,Zed,Yone,Ashe,Swain,True
9427,Ornn,Diana,Ekko,MissFortune,Swain,Darius,Hecarim,Syndra,Kaisa,Thresh,True
9428,Shen,Belveth,Neeko,Vayne,Pyke,Illaoi,Kindred,Ahri,MissFortune,Swain,True
9429,Quinn,Warwick,Malzahar,Jinx,Nautilus,Urgot,Mordekaiser,Yone,Ashe,Swain,True
9430,Malphite,Diana,Jhin,MissFortune,Swain,Teemo,RekSai,Brand,Ashe,Nami,False
9431,Shen,Kayn,Corki,Ashe,Swain,Quinn,Shyvana,Vex,MissFortune,Zyra,False
9432,Garen,Hecarim,Zed,MissFortune,Lux,Fiora,Amumu,Yasuo,Sivir,Swain,True
9433,Nasus,Vi,Yasuo,Jinx,Pyke,Malphite,Nunu,Malzahar,Ashe,Swain,False
9434,Aatrox,Amumu,Irelia,Caitlyn,Swain,TahmKench,Olaf,Janna,MissFortune,Yuumi,True
9435,Teemo,Taliyah,Vex,Caitlyn,Yuumi,Nasus,Warwick,Ekko,Jinx,Swain,False
9436,Nasus,MonkeyKing,Diana,Zeri,Swain,Quinn,Tryndamere,Syndra,Nilah,Bard,True
9437,Camille,Evelynn,Vex,Ezreal,Pantheon,Chogath,Trundle,Syndra,Samira,Pyke,False
9438,Urgot,Ivern,Yasuo,Twitch,Maokai,Nasus,Jax,Ziggs,Samira,Renata,False
9439,Nasus,Kayn,Fizz,Sivir,Leona,Teemo,Jax,Quinn,Jinx,Neeko,True
9440,Illaoi,Nocturne,Garen,Leblanc,TwistedFate,Tryndamere,Shaco,Lillia,Kaisa,Blitzcrank,False
9441,Gangplank,Diana,Veigar,Kaisa,Renata,Ornn,Kayn,Ahri,KogMaw,TwistedFate,True
9442,Nasus,Gwen,Neeko,Vayne,Leona,Garen,Shaco,Vladimir,KogMaw,TwistedFate,True
9443,Tryndamere,Mordekaiser,Swain,Caitlyn,Zilean,Teemo,Trundle,Akshan,Ezreal,TwistedFate,True
