,BlueTop,BlueJungle,BlueMid,BlueADC,BlueSupport,RedTop,RedJungle,RedMid,RedADC,RedSupport,BlueWin
127,Darius,Warwick,Xayah,Nilah,Sona,Gangplank,Amumu,Yasuo,Jhin,Zyra,True
128,Akshan,Lucian,Amumu,Kalista,MissFortune,Ezreal,Nasus,Ryze,Alistar,Galio,True
129,Lucian,Akshan,Teemo,Amumu,Kalista,Ezreal,Nasus,Ryze,Alistar,Galio,True
130,Sett,Amumu,Varus,Kaisa,Sona,Renekton,Diana,Akshan,Caitlyn,Brand,False
131,Shen,Amumu,Leblanc,Ezreal,Teemo,Jax,Kayn,Akshan,Lucian,Xerath,False
132,DrMundo,Rammus,Fizz,MissFortune,Yuumi,Nasus,Amumu,Varus,Ashe,Heimerdinger,False
133,Singed,Rammus,Ziggs,Akshan,Heimerdinger,DrMundo,Amumu,Yone,Tristana,Taric,True
134,Gragas,Teemo,Amumu,Akshan,Jinx,Ezreal,Nasus,Ryze,Alistar,Galio,True
135,Kalista,MissFortune,Amumu,Teemo,Akshan,Ezreal,Nasus,Ryze,Alistar,Galio,True
136,Mordekaiser,Rengar,Akshan,Senna,Nami,Renekton,Amumu,Lux,Twitch,Pyke,False
137,Quinn,Ekko,Yasuo,MissFortune,Yuumi,Urgot,Amumu,Lux,Jhin,Swain,True
138,Gwen,Rammus,Malzahar,Xayah,Blitzcrank,Jax,Amumu,Akali,Samira,Yuumi,True
139,Udyr,Amumu,Yone,Caitlyn,Lux,Garen,MasterYi,Viktor,Tristana,TahmKench,False
140,Teemo,Nidalee,Irelia,Ashe,Senna,Singed,Lillia,Ryze,Caitlyn,Soraka,False
141,Teemo,MonkeyKing,Jayce,Ziggs,Nami,Mordekaiser,Hecarim,Swain,Jhin,Heimerdinger,False
142,Kayle,Mordekaiser,Xerath,Lucian,Morgana,Akali,Zac,Lux,Seraphine,Brand,False
143,Kayle,Udyr,Kled,MissFortune,Leona,Heimerdinger,Volibear,Zed,Zeri,Yuumi,True
144,Quinn,MasterYi,Kayle,Sivir,Blitzcrank,Jax,Mordekaiser,Malzahar,Ashe,Yuumi,False
145,Illaoi,FiddleSticks,Teemo,Ashe,Xerath,Yorick,Rengar,Kayle,Ezreal,Lux,True
146,Shen,Kindred,Yone,Caitlyn,Yuumi,Riven,Sejuani,Fizz,Aphelios,Swain,True
147,Garen,Amumu,Morgana,MissFortune,Seraphine,Riven,Hecarim,Quinn,Kaisa,Lux,False
148,Mordekaiser,Maokai,Pantheon,Kaisa,Yuumi,Riven,Ekko,Akali,Jhin,Velkoz,False
149,Illaoi,MasterYi,Ekko,Kaisa,Bard,Riven,Evelynn,Veigar,Nilah,Leona,True
150,Mordekaiser,Twitch,Vex,Teemo,Heimerdinger,Riven,Viego,Zed,Ashe,Brand,True
151,Riven,Udyr,Neeko,Ezreal,Zyra,Warwick,Nidalee,Lux,Samira,Swain,False
152,Camille,Heimerdinger,Nasus,Caitlyn,Morgana,Sett,Maokai,Yone,Samira,Shaco,False
