,0
24,"['NA1_4546212694', 'NA1_4546170533', 'NA1_4546103210', 'NA1_4546030081', 'NA1_4545980218', 'NA1_4545952715', 'NA1_4545894030', 'NA1_4545860952', 'NA1_4545809155', 'NA1_4545773135', 'NA1_4545760210', 'NA1_4545718240', 'NA1_4545675021', 'NA1_4545641295', 'NA1_4545609350', 'NA1_4545597815', 'NA1_4545570053', 'NA1_4545564834', 'NA1_4545542801', 'NA1_4545513211']"
25,"['NA1_4546573885', 'NA1_4546534308', 'NA1_4546518510', 'NA1_4546501885', 'NA1_4546476504', 'NA1_4546456720', 'NA1_4546439357', 'NA1_4546430994', 'NA1_4546413124', 'NA1_4546406309', 'NA1_4546392373', 'NA1_4546381255', 'NA1_4546365500', 'NA1_4546349469', 'NA1_4546327743', 'NA1_4546304226', 'NA1_4546264443', 'NA1_4546233386', 'NA1_4546168081', 'NA1_4546119312']"
26,"['NA1_4546176699', 'NA1_4546169040', 'NA1_4546104578', 'NA1_4546032574', 'NA1_4545981494', 'NA1_4545920633', 'NA1_4545904077', 'NA1_4545852003', 'NA1_4545791572', 'NA1_4545755408', 'NA1_4545722134', 'NA1_4545685362', 'NA1_4545665050', 'NA1_4545636427', 'NA1_4545591395', 'NA1_4545567239', 'NA1_4545552807', 'NA1_4545517492', 'NA1_4545496227', 'NA1_4545471054']"
27,"['NA1_4546682535', 'NA1_4546648627', 'NA1_4546631028', 'NA1_4546604671', 'NA1_4546573366', 'NA1_4545548867', 'NA1_4545536320', 'NA1_4545487734', 'NA1_4545481105', 'NA1_4545471828', 'NA1_4545461735', 'NA1_4545429565', 'NA1_4545426674', 'NA1_4545422233', 'NA1_4545404315', 'NA1_4545394171', 'NA1_4545382714', 'NA1_4545163360', 'NA1_4545156984', 'NA1_4545130313']"
28,"['NA1_4546514262', 'NA1_4546503334', 'NA1_4546494320', 'NA1_4545653785', 'NA1_4545638118', 'NA1_4545615442', 'NA1_4545615034', 'NA1_4545583546', 'NA1_4545590810', 'NA1_4545576357', 'NA1_4545557522', 'NA1_4545548359', 'NA1_4545539267', 'NA1_4545537014', 'NA1_4545516631', 'NA1_4545513991', 'NA1_4545504588', 'NA1_4545509941', 'NA1_4545494284', 'NA1_4545481213']"
29,"['NA1_4546480415', 'NA1_4546319760', 'NA1_4546304761', 'NA1_4546289740', 'NA1_4546272277', 'NA1_4546232169', 'NA1_4546225778', 'NA1_4546219996', 'NA1_4545653785', 'NA1_4545638118', 'NA1_4545615442', 'NA1_4545615034', 'NA1_4545583546', 'NA1_4545590810', 'NA1_4545576357', 'NA1_4545557522', 'NA1_4545548359', 'NA1_4545539267', 'NA1_4545537014', 'NA1_4545516631']"
30,"['NA1_4546380288', 'NA1_4546372048', 'NA1_4546362113', 'NA1_4546338812', 'NA1_4546313181', 'NA1_4546295271', 'NA1_4546288903', 'NA1_4546257399', 'NA1_4546234663', 'NA1_4546214573', 'NA1_4546197385', 'NA1_4546176464', 'NA1_4546166217', 'NA1_4546130528', 'NA1_4546092380', 'NA1_4546039383', 'NA1_4545997542', 'NA1_4545972626', 'NA1_4545725414', 'NA1_4545680591']"
31,"['NA1_4546517540', 'NA1_4546515918', 'NA1_4546504545', 'NA1_4546494171', 'NA1_4546489058', 'NA1_4546480812', 'NA1_4546295271', 'NA1_4546288903', 'NA1_4546257399', 'NA1_4546234663', 'NA1_4546214573', 'NA1_4546197385', 'NA1_4546176464', 'NA1_4546166217', 'NA1_4546130528', 'NA1_4545725414', 'NA1_4545680591', 'NA1_4545668629', 'NA1_4545646492', 'NA1_4545633539']"
32,"['NA1_4546440749', 'NA1_4546423425', 'NA1_4546409469', 'NA1_4546401724', 'NA1_4546383721', 'NA1_4546380303', 'NA1_4546372048', 'NA1_4546357268', 'NA1_4546345171', 'NA1_4546317726', 'NA1_4546294667', 'NA1_4546279849', 'NA1_4546234663', 'NA1_4546187969', 'NA1_4546138158', 'NA1_4546046361', 'NA1_4545995282', 'NA1_4545936738', 'NA1_4545874125', 'NA1_4545791201']"
33,"['NA1_4546582768', 'NA1_4546265374', 'NA1_4546226682', 'NA1_4546013880', 'NA1_4545860952', 'NA1_4545821602', 'NA1_4545403064', 'NA1_4545396960', 'NA1_4545381262', 'NA1_4545363420', 'NA1_4545348649', 'NA1_4545340203', 'NA1_4545309931', 'NA1_4545261511', 'NA1_4545236280', 'NA1_4545203128', 'NA1_4545141669', 'NA1_4545105758', 'NA1_4545049275', 'NA1_4544997589']"
34,"['NA1_4546384748', 'NA1_4546364446', 'NA1_4546352154', 'NA1_4546330657', 'NA1_4546318394', 'NA1_4546282389', 'NA1_4546260426', 'NA1_4546224610', 'NA1_4546177341', 'NA1_4546145404', 'NA1_4546114846', 'NA1_4546068547', 'NA1_4546020768', 'NA1_4545947998', 'NA1_4545906403', 'NA1_4545892456', 'NA1_4545850474', 'NA1_4545818616', 'NA1_4545787390', 'NA1_4545765081']"
35,"['NA1_4546685039', 'NA1_4546646142', 'NA1_4546604057', 'NA1_4546589629', 'NA1_4546572231', 'NA1_4546543348', 'NA1_4546531751', 'NA1_4546504436', 'NA1_4546486377', 'NA1_4546472633', 'NA1_4546465942', 'NA1_4546451943', 'NA1_4546440750', 'NA1_4546428831', 'NA1_4546409968', 'NA1_4546395212', 'NA1_4546391083', 'NA1_4546370669', 'NA1_4546361319', 'NA1_4546338903']"
36,"['NA1_4546662237', 'NA1_4546638574', 'NA1_4546622155', 'NA1_4546589729', 'NA1_4546573311', 'NA1_4546557018', 'NA1_4546539957', 'NA1_4546518790', 'NA1_4546468810', 'NA1_4546449742', 'NA1_4546431544', 'NA1_4546413477', 'NA1_4546407444', 'NA1_4546395145', 'NA1_4546385068', 'NA1_4545661074', 'NA1_4545626104', 'NA1_4545593922', 'NA1_4545557557', 'NA1_4545532597']"
37,"['NA1_4546686175', 'NA1_4546664966', 'NA1_4546643009', 'NA1_4546585972', 'NA1_4546538687', 'NA1_4546519899', 'NA1_4546492996', 'NA1_4546437273', 'NA1_4546418689', 'NA1_4546419877', 'NA1_4545984816', 'NA1_4545931126', 'NA1_4545638752', 'NA1_4545600502', 'NA1_4545585315', 'NA1_4545557090', 'NA1_4545535013', 'NA1_4545462757', 'NA1_4545447837', 'NA1_4545428364']"
38,"['NA1_4546692322', 'NA1_4546662237', 'NA1_4546560283', 'NA1_4546529190', 'NA1_4546510206', 'NA1_4546487577', 'NA1_4546473566', 'NA1_4546461233', 'NA1_4546447421', 'NA1_4546434531', 'NA1_4546424238', 'NA1_4546420233', 'NA1_4546416796', 'NA1_4546401105', 'NA1_4546383636', 'NA1_4546383906', 'NA1_4546373959', 'NA1_4546357268', 'NA1_4546334683', 'NA1_4545666394']"
39,"['NA1_4546351760', 'NA1_4545476423', 'NA1_4545467475', 'NA1_4545442255', 'NA1_4545422654', 'NA1_4545416627', 'NA1_4545409581', 'NA1_4545411039', 'NA1_4545393652', 'NA1_4545360499', 'NA1_4545348649', 'NA1_4544748768', 'NA1_4544718135', 'NA1_4544696456', 'NA1_4544655961', 'NA1_4544628606', 'NA1_4544605823', 'NA1_4544591359', 'NA1_4542798485', 'NA1_4542754078']"
40,"['NA1_4546102983', 'NA1_4546051425', 'NA1_4545995282', 'NA1_4545946870', 'NA1_4545902570', 'NA1_4545848452', 'NA1_4545809872', 'NA1_4545238988', 'NA1_4545203972', 'NA1_4545189066', 'NA1_4545158110', 'NA1_4545122238', 'NA1_4545091330', 'NA1_4545057464', 'NA1_4545027764', 'NA1_4544974897', 'NA1_4544921361', 'NA1_4541990895', 'NA1_4541191911', 'NA1_4541146724']"
41,"['NA1_4546681202', 'NA1_4546655025', 'NA1_4546626093', 'NA1_4546587538', 'NA1_4546566172', 'NA1_4546537301', 'NA1_4546510687', 'NA1_4546505042', 'NA1_4546486637', 'NA1_4546466587', 'NA1_4546461067', 'NA1_4546436641', 'NA1_4546425002', 'NA1_4546398197', 'NA1_4546386043', 'NA1_4546373159', 'NA1_4546358792', 'NA1_4546337741', 'NA1_4546316011', 'NA1_4546287291']"
42,"['NA1_4546350797', 'NA1_4546322262', 'NA1_4546298383', 'NA1_4546279624', 'NA1_4546263572', 'NA1_4546226967', 'NA1_4546195897', 'NA1_4546143114', 'NA1_4546081348', 'NA1_4546021514', 'NA1_4545976004', 'NA1_4545907238', 'NA1_4545876188', 'NA1_4545865854', 'NA1_4545819474', 'NA1_4545777193', 'NA1_4545723631', 'NA1_4545690235', 'NA1_4545662694', 'NA1_4545628297']"
43,"['NA1_4546671602', 'NA1_4546647860', 'NA1_4546624741', 'NA1_4546601752', 'NA1_4546571662', 'NA1_4546559199', 'NA1_4546535249', 'NA1_4546521072', 'NA1_4546512752', 'NA1_4546190297', 'NA1_4546153639', 'NA1_4546101505', 'NA1_4546048386', 'NA1_4545998308', 'NA1_4545955693', 'NA1_4545916503', 'NA1_4545862111', 'NA1_4545812667', 'NA1_4545806769', 'NA1_4545757427']"
44,"['NA1_4546352257', 'NA1_4546329601', 'NA1_4546313391', 'NA1_4546310225', 'NA1_4546279634', 'NA1_4546250721', 'NA1_4546214607', 'NA1_4546187053', 'NA1_4546127221', 'NA1_4546047476', 'NA1_4546039888', 'NA1_4545980653', 'NA1_4545970235', 'NA1_4545906271', 'NA1_4545870823', 'NA1_4545829866', 'NA1_4545772191', 'NA1_4545732222', 'NA1_4545706046', 'NA1_4545672924']"
45,"['NA1_4546543607', 'NA1_4546528422', 'NA1_4546504716', 'NA1_4546182001', 'NA1_4546148414', 'NA1_4546099581', 'NA1_4546053957', 'NA1_4546014958', 'NA1_4545970389', 'NA1_4545905725', 'NA1_4545904077', 'NA1_4545866357', 'NA1_4545829725', 'NA1_4545812745', 'NA1_4545777179', 'NA1_4545732633', 'NA1_4545703645', 'NA1_4545680994', 'NA1_4545656806', 'NA1_4545624501']"
46,"['NA1_4545840763', 'NA1_4545799929', 'NA1_4545762345', 'NA1_4545731080', 'NA1_4545699105', 'NA1_4545665826', 'NA1_4545625336', 'NA1_4545593718', 'NA1_4545574750', 'NA1_4545535710', 'NA1_4545519785', 'NA1_4545493102', 'NA1_4545475979', 'NA1_4545457055', 'NA1_4545441617', 'NA1_4545430070', 'NA1_4545416627', 'NA1_4545412452', 'NA1_4545398538', 'NA1_4545388881']"
47,"['NA1_4546680526', 'NA1_4546656065', 'NA1_4546626692', 'NA1_4546601442', 'NA1_4546580326', 'NA1_4546577835', 'NA1_4546559747', 'NA1_4546539982', 'NA1_4546289156', 'NA1_4546260497', 'NA1_4546237396', 'NA1_4546202874', 'NA1_4546159176', 'NA1_4546102238', 'NA1_4546062896', 'NA1_4546003415', 'NA1_4545983869', 'NA1_4545935237', 'NA1_4545886488', 'NA1_4545843649']"
48,"['NA1_4545607889', 'NA1_4545574477', 'NA1_4545558940', 'NA1_4545539339', 'NA1_4545517892', 'NA1_4545492595', 'NA1_4545481937', 'NA1_4545466065', 'NA1_4545440703', 'NA1_4545431250', 'NA1_4545423989', 'NA1_4545413085', 'NA1_4545397545', 'NA1_4545385627', 'NA1_4545358667', 'NA1_4545332719', 'NA1_4545332293', 'NA1_4545302502', 'NA1_4545287753', 'NA1_4545242429']"
49,"['NA1_4546520031', 'NA1_4546495558', 'NA1_4546489335', 'NA1_4546480928', 'NA1_4546464263', 'NA1_4546444111', 'NA1_4546434858', 'NA1_4546421151', 'NA1_4546410858', 'NA1_4546399525', 'NA1_4546404934', 'NA1_4546393767', 'NA1_4546386898', 'NA1_4546375943', 'NA1_4546359433', 'NA1_4546351863', 'NA1_4546335433', 'NA1_4546317665', 'NA1_4546308366', 'NA1_4545617386']"
50,"['NA1_4546661497', 'NA1_4546634377', 'NA1_4546624462', 'NA1_4546600256', 'NA1_4546566022', 'NA1_4546543306', 'NA1_4546526743', 'NA1_4546238243', 'NA1_4546137633', 'NA1_4546023050', 'NA1_4545939943', 'NA1_4545872072', 'NA1_4545722105', 'NA1_4545502217', 'NA1_4545481485', 'NA1_4545461272', 'NA1_4545445121', 'NA1_4545432147', 'NA1_4545414524', 'NA1_4545406029']"
51,"['NA1_4546704509', 'NA1_4546690036', 'NA1_4546652936', 'NA1_4546620358', 'NA1_4546603010', 'NA1_4546446328', 'NA1_4546432493', 'NA1_4546423873', 'NA1_4546409009', 'NA1_4546402825', 'NA1_4546380560', 'NA1_4546372000', 'NA1_4546359235', 'NA1_4546350797', 'NA1_4546327812', 'NA1_4546305572', 'NA1_4546291075', 'NA1_4546254126', 'NA1_4546223053', 'NA1_4546190028']"
52,"['NA1_4546603010', 'NA1_4546567676', 'NA1_4546536640', 'NA1_4546527028', 'NA1_4546494605', 'NA1_4546452133', 'NA1_4546440502', 'NA1_4546425002', 'NA1_4546407667', 'NA1_4546405748', 'NA1_4546385286', 'NA1_4546378928', 'NA1_4546353493', 'NA1_4546197310', 'NA1_4546160296', 'NA1_4546114959', 'NA1_4546044581', 'NA1_4545996477', 'NA1_4545965891', 'NA1_4545893544']"
53,"['NA1_4546307987', 'NA1_4546288921', 'NA1_4546261323', 'NA1_4546208731', 'NA1_4546178531', 'NA1_4546127221', 'NA1_4546089977', 'NA1_4546049292', 'NA1_4546008749', 'NA1_4545955372', 'NA1_4545921748', 'NA1_4545859222', 'NA1_4545818209', 'NA1_4545779419', 'NA1_4545746423', 'NA1_4545723808', 'NA1_4545693216', 'NA1_4545646347', 'NA1_4545623502', 'NA1_4545612872']"
54,"['NA1_4546541794', 'NA1_4546497430', 'NA1_4546451885', 'NA1_4546429542', 'NA1_4546421072', 'NA1_4546405175', 'NA1_4546387682', 'NA1_4546381942', 'NA1_4546367924', 'NA1_4546343631', 'NA1_4546330802', 'NA1_4546296681', 'NA1_4546280741', 'NA1_4546232547', 'NA1_4546188224', 'NA1_4546097006', 'NA1_4546030624', 'NA1_4545977814', 'NA1_4545942163', 'NA1_4545894030']"
55,"['NA1_4546569680', 'NA1_4546553078', 'NA1_4546519112', 'NA1_4546513263', 'NA1_4546496958', 'NA1_4546477194', 'NA1_4546467907', 'NA1_4546077724', 'NA1_4546024929', 'NA1_4545968888', 'NA1_4545916792', 'NA1_4545870373', 'NA1_4545839227', 'NA1_4545795339', 'NA1_4545768299', 'NA1_4545741392', 'NA1_4545718190', 'NA1_4545684857', 'NA1_4545663837', 'NA1_4545633347']"
56,"['NA1_4546418889', 'NA1_4546397685', 'NA1_4546394311', 'NA1_4546268468', 'NA1_4546250120', 'NA1_4546200077', 'NA1_4546149941', 'NA1_4546093712', 'NA1_4546055863', 'NA1_4546000279', 'NA1_4545940460', 'NA1_4545898770', 'NA1_4545848693', 'NA1_4545820662', 'NA1_4545785603', 'NA1_4545753454', 'NA1_4545721629', 'NA1_4545697477', 'NA1_4545694906', 'NA1_4545670510']"
57,"['NA1_4546528086', 'NA1_4546506453', 'NA1_4546491031', 'NA1_4546471525', 'NA1_4546469780', 'NA1_4546461783', 'NA1_4546447787', 'NA1_4546426266', 'NA1_4546419798', 'NA1_4546397701', 'NA1_4546404934', 'NA1_4546399000', 'NA1_4546388028', 'NA1_4546368288', 'NA1_4546354329', 'NA1_4546343981', 'NA1_4546326923', 'NA1_4546299568', 'NA1_4546292332', 'NA1_4546254351']"
58,"['NA1_4545679327', 'NA1_4545651825', 'NA1_4545626104', 'NA1_4545612861', 'NA1_4545578134', 'NA1_4545548916', 'NA1_4545528041', 'NA1_4545510393', 'NA1_4545486608', 'NA1_4545481500', 'NA1_4545467528', 'NA1_4545460824', 'NA1_4545444785', 'NA1_4545426659', 'NA1_4545418515', 'NA1_4545417868', 'NA1_4545401960', 'NA1_4545387820', 'NA1_4545377035', 'NA1_4545367093']"
59,"['NA1_4546269166', 'NA1_4546248411', 'NA1_4546223770', 'NA1_4546168698', 'NA1_4546126646', 'NA1_4546080181', 'NA1_4546036479', 'NA1_4545982092', 'NA1_4545940430', 'NA1_4545908749', 'NA1_4545859440', 'NA1_4545812703', 'NA1_4545779459', 'NA1_4545740579', 'NA1_4545718594', 'NA1_4545680420', 'NA1_4545652400', 'NA1_4545620251', 'NA1_4545595370', 'NA1_4545580742']"
60,"['NA1_4546701373', 'NA1_4546664700', 'NA1_4546638141', 'NA1_4546600707', 'NA1_4546571615', 'NA1_4546557781', 'NA1_4546524563', 'NA1_4546510243', 'NA1_4546491408', 'NA1_4546474570', 'NA1_4546464857', 'NA1_4546448353', 'NA1_4546442787', 'NA1_4546427770', 'NA1_4546407497', 'NA1_4546403942', 'NA1_4546384297', 'NA1_4546376130', 'NA1_4546355065', 'NA1_4546342808']"
61,"['NA1_4546688961', 'NA1_4546648443', 'NA1_4546629012', 'NA1_4546591732', 'NA1_4546589629', 'NA1_4546572388', 'NA1_4546545517', 'NA1_4546524440', 'NA1_4546501425', 'NA1_4546481452', 'NA1_4546480812', 'NA1_4546460567', 'NA1_4546446328', 'NA1_4546436952', 'NA1_4546424124', 'NA1_4546415068', 'NA1_4546397685', 'NA1_4546390623', 'NA1_4546384208', 'NA1_4546368313']"
